title	url	author
Multimodal Model-Agnostic Meta-Learning via Task-Aware Modulation	https://papers.nips.cc/paper/8296-multimodal-model-agnostic-meta-learning-via-task-aware-modulation.pdf	Risto Vuorio
ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks	https://papers.nips.cc/paper/8297-vilbert-pretraining-task-agnostic-visiolinguistic-representations-for-vision-and-language-tasks.pdf	Jiasen Lu
Stochastic Shared Embeddings: Data-driven Regularization of Embedding Layers	https://papers.nips.cc/paper/8298-stochastic-shared-embeddings-data-driven-regularization-of-embedding-layers.pdf	Liwei Wu
Unsupervised Scale-consistent Depth and Ego-motion Learning from Monocular Video	https://papers.nips.cc/paper/8299-unsupervised-scale-consistent-depth-and-ego-motion-learning-from-monocular-video.pdf	Jiawang Bian
Zero-shot Learning via Simultaneous Generating and Learning	https://papers.nips.cc/paper/8300-zero-shot-learning-via-simultaneous-generating-and-learning.pdf	Hyeonwoo Yu
Ask not what AI can do, but what AI should do: Towards a framework of task delegability	https://papers.nips.cc/paper/8301-ask-not-what-ai-can-do-but-what-ai-should-do-towards-a-framework-of-task-delegability.pdf	Brian Lubars
Stand-Alone Self-Attention in Vision Models	https://papers.nips.cc/paper/8302-stand-alone-self-attention-in-vision-models.pdf	Niki Parmar
High Fidelity Video Prediction with Large Stochastic Recurrent Neural Networks	https://papers.nips.cc/paper/8303-high-fidelity-video-prediction-with-large-stochastic-recurrent-neural-networks.pdf	Ruben Villegas
Unsupervised learning of object structure and dynamics from videos	https://papers.nips.cc/paper/8304-unsupervised-learning-of-object-structure-and-dynamics-from-videos.pdf	Matthias Minderer
GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism	https://papers.nips.cc/paper/8305-gpipe-efficient-training-of-giant-neural-networks-using-pipeline-parallelism.pdf	Yanping Huang
Meta-Learning with Implicit Gradients	https://papers.nips.cc/paper/8306-meta-learning-with-implicit-gradients.pdf	Aravind Rajeswaran
Adversarial Examples Are Not Bugs, They Are Features	https://papers.nips.cc/paper/8307-adversarial-examples-are-not-bugs-they-are-features.pdf	Andrew Ilyas
Social-BiGAT: Multimodal Trajectory Forecasting using Bicycle-GAN and Graph Attention Networks	https://papers.nips.cc/paper/8308-social-bigat-multimodal-trajectory-forecasting-using-bicycle-gan-and-graph-attention-networks.pdf	Vineet Kosaraju
FreeAnchor: Learning to Match Anchors for Visual Object Detection	https://papers.nips.cc/paper/8309-freeanchor-learning-to-match-anchors-for-visual-object-detection.pdf	Xiaosong Zhang
Private Hypothesis Selection	https://papers.nips.cc/paper/8310-private-hypothesis-selection.pdf	Mark Bun
Differentially Private Algorithms for Learning Mixtures of Separated Gaussians	https://papers.nips.cc/paper/8311-differentially-private-algorithms-for-learning-mixtures-of-separated-gaussians.pdf	Gautam Kamath
Average-Case Averages: Private Algorithms for Smooth Sensitivity and Mean Estimation	https://papers.nips.cc/paper/8312-average-case-averages-private-algorithms-for-smooth-sensitivity-and-mean-estimation.pdf	Mark Bun
Multi-Resolution Weak Supervision for Sequential Data	https://papers.nips.cc/paper/8313-multi-resolution-weak-supervision-for-sequential-data.pdf	Paroma Varma
DeepUSPS: Deep Robust Unsupervised Saliency Prediction via Self-supervision	https://papers.nips.cc/paper/8314-deepusps-deep-robust-unsupervised-saliency-prediction-via-self-supervision.pdf	Tam Nguyen
The Point Where Reality Meets Fantasy: Mixed Adversarial Generators for Image Splice Detection	https://papers.nips.cc/paper/8315-the-point-where-reality-meets-fantasy-mixed-adversarial-generators-for-image-splice-detection.pdf	Vladimir V. Kniaz
You Only Propagate Once: Accelerating Adversarial Training via Maximal Principle	https://papers.nips.cc/paper/8316-you-only-propagate-once-accelerating-adversarial-training-via-maximal-principle.pdf	Dinghuai Zhang
